state,total_cases,new_cases,total_deaths,new_deaths,active_cases,cases_per_1M,deaths_per_1M,total_tests,test_per_1M
USA Total,"709,735","32,165","37,154","2,535","612,071","2,144",112,"3,572,257","10,792"
New York,"233,951","7,753","17,131","1,025","192,933","11,925",873,"573,223","29,219"
New Jersey,"78,467","3,150","3,840",322,"73,356","8,835",432,"159,389","17,945"
Massachusetts,"34,402","2,221","1,404",159,"24,880","5,037",206,"148,744","21,777"
Michigan,"30,023",760,"2,227",134,"27,353","3,015",224,"102,366","10,280"
Pennsylvania,"29,921","2,186",957,120,"28,314","2,339",75,"147,373","11,521"
California,"29,175","1,541","1,041",90,"26,784",745,27,"246,400","6,294"
Illinois,"27,575","1,842","1,134",62,"26,391","2,151",88,"130,163","10,152"
Florida,"24,753","1,413",726,58,"23,341","1,202",35,"241,913","11,744"
Louisiana,"23,118",586,"1,213",57,"21,855","4,957",260,"131,987","28,301"
Texas,"17,760","1,122",439,35,"13,131",637,16,"169,536","6,080"
Georgia,"17,432","1,064",668,51,"16,733","1,693",65,"71,693","6,962"
Connecticut,"16,809",925,"1,036",65,"15,708","4,693",289,"55,462","15,486"
Maryland,"11,572",788,425,33,"10,411","1,928",71,"62,009","10,329"
Washington,"11,159",125,599,18,"8,845","1,530",82,"128,900","17,671"
Indiana,"10,154",612,519,42,"9,621","1,530",78,"54,785","8,254"
Ohio,"9,107",693,418,29,"8,569",782,36,"77,677","6,672"
Colorado,"9,047",372,391,17,"8,158","1,636",71,"41,830","7,563"
Virginia,"7,491",602,231,23,"6,150",890,27,"48,997","5,823"
Tennessee,"6,589",327,142,1,"3,430",991,21,"87,273","13,122"
North Carolina,"6,031",423,172,24,"4,976",594,17,"72,981","7,186"
Missouri,"5,283",105,182,14,"4,917",867,30,"51,545","8,464"
Alabama,"4,572",168,151,14,"4,401",940,31,"37,848","7,780"
Arizona,"4,507",273,169,19,"4,268",649,24,"49,230","7,087"
Rhode Island,"4,177",339,118,13,"4,049","3,953",112,"30,761","29,113"
South Carolina,"4,086",155,116,7,"3,970",824,23,"36,284","7,321"
Wisconsin,"4,045",170,205,8,"3,753",700,35,"46,410","8,032"
Mississippi,"3,793",169,140,11,"3,653","1,269",47,"37,733","12,625"
Nevada,"3,524",203,142,,"2,213","1,206",49,"35,955","12,301"
Utah,"2,805",122,23,2,"2,564",921,8,"55,771","18,313"
Kentucky,"2,522",93,137,8,"2,079",568,31,"30,596","6,891"
District Of Columbia,"2,476",126,86,5,"1,817","3,617",126,"12,643","18,470"
Oklahoma,"2,465",108,136,5,"1,174",629,35,"30,795","7,860"
Iowa,"2,332",191,64,4,"1,261",744,20,"21,792","6,957"
Delaware,"2,323",248,61,9,"1,839","2,447",64,"14,017","14,763"
Minnesota,"2,071",159,111,17,894,375,20,"43,053","7,789"
Oregon,"1,785",49,70,6,"1,715",437,17,"36,321","8,898"
New Mexico,"1,711",114,51,7,"1,365",818,24,"35,613","17,020"
Kansas,"1,705",102,84,4,"1,381",586,29,"16,901","5,810"
Arkansas,"1,700",80,37,,"1,070",568,12,"23,494","7,856"
Idaho,"1,655",46,43,2,"1,159",981,25,"16,183","9,588"
South Dakota,"1,411",100,7,,947,"1,633",8,"11,062","12,799"
New Hampshire,"1,287",76,37,3,782,958,28,"12,852","9,565"
Nebraska,"1,138",72,24,,"1,092",597,13,"13,753","7,220"
Maine,827,31,29,2,446,620,22,"14,872","11,158"
Vermont,779,11,35,,744,"1,246",56,"12,116","19,386"
West Virginia,775,36,16,3,612,424,9,"19,088","10,436"
Hawaii,553,12,9,,154,389,6,"21,985","15,460"
North Dakota,439,46,9,,258,584,12,"12,342","16,408"
Montana,422,7,8,1,181,405,8,"10,244","9,834"
Wyoming,412,11,2,,204,708,3,"7,280","12,512"
Alaska,309,9,9,,172,418,12,"9,450","12,796"
Guam,135,,5,,57,,,605,
Northern Mariana Islands,13,,2,,11,,,45,
Puerto Rico,"1,068",25,58,2,"1,006",315,17,"10,410","3,074"
United States Virgin Islands,51,,2,1,3,,,458,
US Military,"4,849",83,19,,"3,771",,,,
Navajo Nation,"1,042",121,41,3,"1,001",,,,
Grand Princess Ship,103,,3,,100,,,,
Wuhan Repatriated,3,,,,3,,,3,
Diamond Princess Ship,46,,,,46,,,46,
Total:,"709,735","32,165","37,154","2,535","612,071","2,144",112,"3,572,257","10,792"
